recall,wrecall,precision,wprecision,pred_node_count,pred_nb_node_count,pred_formula_count,pred_edge_count
0.6564516,0.92799765,0.25426358,0.30904752,414,144,645,5326
0.58438283,0.78324085,0.14626865,0.15923676,467,346,670,2846
0.8821243,0.9410376,0.2748815,0.2987032,751,632,1055,4954
0.77575755,0.9706475,0.03158887,0.039456576,818,390,2121,13178
0.77227724,0.84537876,0.04141414,0.036523454,1821,1278,990,10068
0.87356323,0.9553412,0.23287672,0.26923212,296,63,584,4508
0.7821429,0.9645231,0.159601,0.18863812,186,49,401,2208
0.74747473,0.95153344,0.2621185,0.33917707,272,61,557,3960
0.7291667,0.88785446,0.30132452,0.39385834,321,67,604,5104
0.8674033,0.9636663,0.1657754,0.18588904,179,71,374,2074
0.7990074,0.95198894,0.10727406,0.079335906,1789,1241,1361,20000
0.8429752,0.9636433,0.22528362,0.3038402,321,67,617,5104
0.8922306,0.98625225,0.20951156,0.31631786,1014,555,778,10676
0.71703297,0.8378513,0.106167845,0.12023283,1649,1120,989,17908
0.37209302,0.8953191,0.09803922,0.09702861,44,21,102,232
0.5362319,0.96089005,0.23589744,0.24818538,86,37,195,660
0.90625,0.9811345,0.07491856,0.13545612,404,211,1228,6308
0.86497885,0.90823466,0.17490494,0.21830098,265,91,526,3794
0.8276699,0.97645366,0.28342244,0.40298647,649,336,561,6188
0.787156,0.9687475,0.2479339,0.32742858,442,149,726,8020
0.88214904,0.9804311,0.17238806,0.2573157,1854,1104,1340,22476
0.72378516,0.91473734,0.12460733,0.11334871,1440,1073,955,13496
0.78925616,0.92687,0.2462908,0.31049192,417,155,674,5338
0.9234042,0.951288,0.04766537,0.07215904,1015,693,2056,19560
0.8554503,0.9767639,0.039408866,0.029660251,2719,1776,3248,45176
0.78624076,0.9408655,0.27592593,0.35859722,272,61,540,3960
0.87108016,0.97018826,0.20462634,0.28686458,272,61,562,3960
0.8779762,0.9367448,0.22570015,0.26614273,528,300,607,8042
0.87623763,0.97909117,0.21335268,0.31968915,408,139,689,6932
0.82366586,0.9601079,0.23206107,0.3134941,381,133,655,6368
0.7425,0.9775108,0.14925373,0.21358266,348,119,603,5384
0.7152318,0.9846338,0.1539823,0.20878258,324,117,565,4948
0.76388896,0.9272003,0.21410257,0.28356972,462,230,780,6358
0.79425836,0.94236064,0.18715084,0.24835931,402,158,716,5278
0.7379913,0.93558604,0.2142857,0.29064342,474,221,756,6406
0.81984335,0.94464976,0.2057554,0.29275844,417,155,695,5338
0.75799084,0.9368761,0.21791045,0.3140946,414,144,670,5326
0.56745183,0.9148426,0.20719424,0.28992918,444,198,695,6286
0.93510324,0.9893845,0.4595525,0.6114098,272,61,581,3960
0.7369338,0.9093754,0.26450512,0.2974049,354,117,586,5086
0.7821229,0.912848,0.12834822,0.16900091,643,282,896,10552
0.88389516,0.9810661,0.12470863,0.18012543,682,270,858,11308
0.74736845,0.94717336,0.20320196,0.26905575,667,242,812,11128
0.74531835,0.9387958,0.19841269,0.24519272,598,236,756,10012
0.7898089,0.9686736,0.19542253,0.24736956,349,120,568,4134
0.70845485,0.9481913,0.18853974,0.24450485,334,126,541,4074
0.5910828,0.79479027,0.113109045,0.08935643,21401,11805,1724,183426
0.7789474,0.9254827,0.23896104,0.2894076,462,230,770,6358
0.8075188,0.93404937,0.33333334,0.41857514,321,67,627,5104
0.73700786,0.862015,0.22196531,0.29276508,523,253,865,7890
0.7182131,0.9406619,0.1279762,0.18682867,481,260,672,6386
0.75238097,0.87404597,0.097520664,0.12361021,393,144,605,5242
0.84921765,0.9479612,0.03424408,0.019169342,5991,4796,5490,97228
0.6506986,0.8964461,0.27094474,0.2719187,343,64,561,5612
0.6976744,0.9176388,0.17376776,0.20737071,585,369,1197,8778
0.78823537,0.92829764,0.15959254,0.21664445,591,354,1178,8802
0.75868726,0.9173736,0.17432785,0.24487695,579,331,1153,8754
0.7088388,0.8735081,0.16488414,0.2292617,549,319,1122,8634
0.78510636,0.91251576,0.1581485,0.19520289,431,211,1037,7930
0.82,0.86985594,0.051696286,0.07005221,348,119,619,5384
0.76428574,0.9086132,0.11579573,0.17602932,751,433,1684,11878
0.90400004,0.92063785,0.054054055,0.060042113,736,332,1739,14724
0.7247191,0.95071036,0.09062003,0.10543297,515,206,629,7920
0.6818182,0.77372736,0.1118644,0.13140363,393,144,590,5242
0.825974,0.9576179,0.044215426,0.03442187,2492,1641,3008,42552
0.931338,0.9894955,0.3838384,0.5099808,272,61,594,3960
0.89756095,0.9800343,0.07567128,0.14648609,404,211,1229,6308
0.9020271,0.9740184,0.2674897,0.37561333,227,55,486,3000
0.8276798,0.92570096,0.032433297,0.012123439,11765,7421,6259,173880
0.73846155,0.9750048,0.11848342,0.18004665,381,133,633,6368
0.7212806,0.9601369,0.037338573,0.02718618,3184,2306,3562,52964
0.7222222,0.89635164,0.054635763,0.06453054,385,170,604,6230
0.8021978,0.9009466,0.059739843,0.033499293,4628,3843,6227,31008
0.88554215,0.9844857,0.05338983,0.05513503,2270,1357,1180,23440
0.8409786,0.9522487,0.23285198,0.21536683,1331,1080,554,7172
0.8831169,0.97268,0.2300885,0.28951818,304,126,565,4664
0.7398721,0.825637,0.18192218,0.1956536,1557,1187,874,12708
0.85294116,0.9844694,0.19175628,0.23477194,304,126,558,4664
0.89776355,0.97429174,0.21340388,0.27160066,304,126,567,4664
0.67647064,0.887712,0.11550889,0.092366576,2800,2502,1238,18574
0.8149254,0.91230595,0.041438356,0.03736674,4114,2690,2920,44236
